patient_id,patient_name,patient_sex,patient_birth,patient_phone
550,김숙자,여자,1966-12-13,01059083087
981,이서연,여자,1979-04-27,01026052349
296,이옥자,남자,1944-10-27,01050415500
103,최영순,여자,1988-05-11,01071151788
396,홍지연,남자,1992-07-03,01017130828
154,류현정,남자,1940-03-16,01038920886
511,최성수,남자,1995-06-07,0102920949
10,강지우,여자,2001-08-03,01094265359
99,김서영,남자,1990-03-09,01053507998
501,김현지,여자,1977-06-16,01079761887
346,강시우,여자,1990-12-27,01042996460
663,이순자,남자,1994-03-06,01082725145
455,김수진,여자,1991-04-09,01023258680
695,박준영,여자,1952-02-12,01064945590
326,송하은,남자,1986-07-05,01036097267
575,배춘자,여자,1995-04-21,01035975559
172,한미영,여자,1964-06-27,01074299964
371,오재호,여자,1988-09-30,0109548722
499,김승민,남자,1975-08-12,01012000240
416,장현숙,남자,1940-12-25,01089266824
211,최현주,여자,2003-11-07,0105637548
446,손지원,남자,1951-04-07,01084174368
58,김지연,여자,1981-05-27,01059596788
949,진정웅,남자,1944-06-20,01062208185
265,이정웅,여자,1971-09-21,01095410544
838,한옥순,여자,1996-03-23,01051224964
418,박상호,남자,1950-12-17,01085964427
497,김광수,남자,1941-01-06,01055936096
545,박예지,여자,1959-10-12,01092585979
670,류영길,남자,1982-12-16,01062232997
461,류옥순,여자,1966-03-29,01058869587
326,윤재호,남자,1957-04-09,01011065491
903,최도윤,여자,1996-10-29,010139386
609,이명자,여자,1948-11-23,01017162267
444,이정웅,남자,1941-12-28,01053596781
915,진도현,남자,1955-03-16,01040719802
361,최영일,남자,1968-07-25,01070090131
754,강정호,여자,1944-06-26,01026752905
635,김영일,여자,1964-08-25,01077341966
252,김중수,남자,1965-12-07,01068308435
76,김민수,남자,1963-05-04,01079252522
358,이영순,여자,1996-02-18,01015582852
422,최상호,여자,2002-03-03,01013951905
463,김상현,남자,1952-12-24,01049536916
28,김서현,남자,1935-09-22,01022209949
430,장재호,남자,1979-02-24,01098326306
661,김성현,남자,1976-04-20,01040941930
396,장은주,여자,1933-11-30,01041153262
302,박은주,여자,1949-06-20,01090678252
52,홍서윤,여자,1945-10-09,01050191859
134,김민재,남자,1980-08-16,010408814
291,윤진호,여자,1946-07-15,0102719409
879,이우진,여자,1963-05-27,01071665558
459,이경자,여자,1951-11-28,01075128326
899,박상훈,여자,2005-01-04,01046197954
541,김예은,여자,1956-11-18,01085159227
